GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Dec 31 09:59:05 PST 2025,31-Dec-2025 09:59:05.432,-116.96386792,32.83242253,30.979999542236328,4.5979719161987305,96.396484375,285.5,-3.24,9.38,0.86,0.03,-3.85,355.36,-1.37,-,-7424.24,-134.69,-1368.13,-7.42,-12.11,-7.2,-2.38,0,331,-4.9,-1.62,-1621.9,331,-11.98,13.33,-1224.25,0,0,0,0,331.5,12.7,185,129.2,0,0,14.12,1.31,71.6,13.33,29480,-9.4,3,113,-,11.71,605,0,0,0,0,-,-,319,-0.15,56.86,707.88,-,196,52.7,50.2,53.73,49.8,50.2,6.5,50.9,-,7680,185,99.22,1950,-2555.5,12.16,56.13,2873.2,15.09,316.26,285.5,32.83,-116.96,32,51.63,7.99,13.33,13.33,73.4,14.36,13.3,12.27,8.15,186.42,48.7,41.29,10.01,48.63,283,-,70.21,58.43,0.5,17.02,12.35,8.1,29.04,2.83,278.03,255.19,22.83,0,12.69,12.5
Wed Dec 31 09:59:06 PST 2025,31-Dec-2025 09:59:06.430,-116.96418456,32.83246855,31.34000015258789,3.9667928218841553,98.47430419921875,279.20001220703125,-1.02,8.19,2.12,-0.11,-3.85,355.36,-1.37,-,-7424.24,-134.69,-1368.13,-7.42,-12.11,-7.2,-2.38,0,331,-4.9,-1.62,-1621.9,331,-11.98,13.33,-1224.25,0,0,0,0,331.5,12.7,185,129.2,0,0,14.12,1.31,71.6,13.33,29480,-9.4,3,113,-,11.71,605,0,0,0,0,-,-,318,-0.15,46.27,896.69,-,196,52.7,50.2,53.73,49.8,50.2,6.5,50.9,-,5120,185,92.94,2532,-2555.5,13.73,60.92,2873.2,13.01,323.08,279.2,32.83,-116.96,41,1.35,14.05,13.33,13.33,73.4,13.78,10.51,12.26,8.15,235.91,48.31,41.76,9.93,48.63,283,70.11,71.46,49.8,7,29.15,12.33,8.11,28.99,2.84,280.28,257.45,22.83,-0.58,12.69,12.5
Wed Dec 31 09:59:07 PST 2025,31-Dec-2025 09:59:07.429,-116.96451112,32.83249326,32.099998474121094,3.7900924682617188,98.46209716796875,271.3999938964844,-1.17,9.59,1.36,0.01,25.5,357.62,9.12,-,47390.16,21.1,9119.44,47.39,77.28,31.95,10.38,0,325,-0.8,-0.26,-260,325,-11.98,13.33,8413.84,0,0,0,0,325,12.69,186.8,129.2,0,0,18.82,1.75,71.6,13.33,29480,-9.4,3,118,-,11.71,602,0,0,0,0,-,-,318,-0.15,46.27,896.69,-,196,52.7,50.2,53.73,49.8,50.2,6.5,50.9,-,5120,185,92.94,2532,43.5,13.73,60.92,2941.37,12.43,323.04,271.4,32.83,-116.96,50,1.35,14.05,13.33,13.33,73.4,13.78,10.51,12.26,8.15,235.91,48.21,41.87,9.91,39.61,286,71.81,71.46,49.8,7,29.15,12.33,8.11,28.99,2.86,280.82,257.99,22.83,-0.58,12.72,12.5
Wed Dec 31 09:59:08 PST 2025,31-Dec-2025 09:59:08.430,-116.96485775,32.83251573,32.459999084472656,3.7900924682617188,98.824462890625,273.5,0.34,10.16,2.6,0.09,25.5,357.62,9.12,-,47390.16,21.1,9119.44,47.39,77.28,31.95,10.38,0,325,-0.8,-0.26,-260,325,-11.98,13.33,8413.84,0,0,0,0,325,12.69,186.8,129.2,0,0,18.82,1.75,71.6,13.33,29480,-9.4,3,118,-,11.71,602,0,0,0,0,-,-,314,-0.15,44.71,943.9,-,196,52.7,50.2,53.73,49.8,50.2,19,50.9,-,6208,186.8,75.69,2598.75,43.5,29.8,55.69,2941.37,12.43,324.23,273.5,32.83,-116.96,56,1.33,34.86,13.33,13.33,73.4,13.05,12.47,12.26,8.15,202.46,47.97,42.16,9.86,39.61,286,72.61,73.94,49.8,7,70.45,12.33,8.11,29,2.88,282.23,259.4,22.83,-1.31,12.72,12.5
Wed Dec 31 09:59:09 PST 2025,31-Dec-2025 09:59:09.430,-116.96521146,32.83253512,32.849998474121094,3.7900924682617188,98.72247314453125,273.29998779296875,0.13,8.88,2.72,-0.03,25.5,357.23,9.11,-,47338.4,21.12,9109.48,47.34,77.2,45.75,14.73,0,322,8.25,2.66,2656.5,322,-11.98,13.33,8423.04,0,0,0,0,321.5,12.69,186.8,129.2,0,0,18.82,1.75,71.6,13.33,29480,-9.4,3,118,-,11.71,602,0,0,0,0,-,-,314,-0.15,44.71,943.9,-,196,52.7,50.2,53.73,49.8,50.2,19,50.9,-,6208,186.8,75.69,2598.75,4.75,29.8,55.69,2865.95,12.43,323.89,273.3,32.83,-116.97,57,1.33,34.86,13.33,13.33,73.4,13.05,12.47,12.26,8.15,202.46,47.87,42.29,9.84,38.04,288,73.48,73.94,47.45,26,70.45,12.33,8.11,29,2.9,282.83,260,22.83,-1.31,12.67,12.5
Wed Dec 31 09:59:10 PST 2025,31-Dec-2025 09:59:10.429,-116.96557228,32.83255328,33.7400016784668,3.7900924682617188,97.96136474609375,272.8999938964844,0.31,9.99,-0.42,0.04,25.5,357.23,9.11,-,45786.32,21.84,9109.48,45.79,74.67,45.75,14.73,0,322,8.25,2.66,2656.5,322,-11.98,13.33,8708.57,0,0,0,0,321.5,12.69,186.8,131,0,0,37.65,3.51,71.6,13.33,29480,-9.4,3,122,-,11.71,604,0,0,0,0,-,-,307,-0.15,49.02,1085.51,-,196,52.7,50.2,53.73,49.8,50.2,14,50.9,-,4480,188.6,75.69,3090.5,4.75,39.61,57.87,2865.95,12.43,321.4,272.9,32.83,-116.97,57,1.58,43.02,13.33,13.33,73.4,12.76,9.75,12.26,8.15,267.99,47.63,42.58,9.79,38.04,288,75.47,77.05,47.45,26,73.1,12.3,8.13,28.94,2.92,284.27,261.44,22.83,-1.6,12.67,12.5
Wed Dec 31 09:59:11 PST 2025,31-Dec-2025 09:59:11.430,-116.96593286,32.8325733,34.599998474121094,3.7900924682617188,97.65325927734375,272.8999938964844,-2.16,11.96,-0.49,0.26,24.3,357.38,8.68,-,42263.17,23.66,8684.21,42.26,68.92,28.55,9.31,0,326,-17.8,-5.8,-5802.8,326,-11.98,13.33,8567.47,0,0,0,0,325.5,12.66,188.6,131,0,0,42.35,3.94,71.6,13.33,29480,-9.4,3,126,-,11.71,604,0,0,0,0,-,-,307,-0.15,49.02,1085.51,-,196,52.7,50.2,53.73,49.8,50.2,14,50.9,-,4480,188.6,83.92,3090.5,49.25,39.61,57.87,2923.96,12.43,320.38,272.9,32.83,-116.97,58,1.58,43.02,13.33,13.33,73.4,12.76,9.75,12.26,8.15,267.99,47.54,42.69,9.77,34.9,290,77.4,77.05,45.1,15.5,73.1,12.3,8.13,28.94,2.94,284.82,261.99,22.83,-1.6,12.67,12.5
Wed Dec 31 09:59:12 PST 2025,31-Dec-2025 09:59:12.430,-116.96630446,32.83259454,35.119998931884766,3.7900924682617188,96.8272705078125,273.20001220703125,0.81,10.94,-1.08,0.14,24.3,357.38,8.68,-,42263.17,23.66,8684.21,42.26,68.92,28.55,9.31,0,326,-17.8,-5.8,-5802.8,326,-11.98,13.33,8567.47,0,0,0,0,325.5,12.66,188.6,131,0,0,42.35,3.94,71.6,13.33,29480,-9.4,3,126,-,11.71,605,0,0,0,0,-,-,317,-0.15,49.02,1085.51,-,196,52.7,50.2,53.73,49.8,50.2,14,50.9,-,4480,188.6,83.92,3090.5,49.25,39.61,57.87,2923.96,12.43,317.67,273.2,32.83,-116.97,57,1.58,43.02,13.33,13.33,73.4,12.76,9.75,12.26,8.15,267.99,47.37,42.89,9.74,34.9,290,78.56,77.05,45.1,15.5,73.1,12.3,8.13,28.94,2.97,285.82,262.99,22.83,-1.6,12.67,12.5
Wed Dec 31 09:59:13 PST 2025,31-Dec-2025 09:59:13.430,-116.96667916,32.83261376,35.459999084472656,3.7900924682617188,95.94580078125,273.1000061035156,-0.64,11.16,-0.8,0.16,-20.05,354.83,-7.11,-,-34622.95,-28.88,-7114.3,-34.62,-56.46,0,0,0,332,-21.6,-7.17,-7171.2,332,-11.98,13.33,-7119.79,0,0,0,0,332,12.66,188.6,131,0,0,42.35,3.94,71.6,13.33,29480,-9.4,3,126,-,11.71,605,0,0,0,0,-,-,317,-0.15,51.37,943.9,-,196,52.7,50.2,53.73,49.8,50.2,27.5,50.9,-,6560,190.4,73.33,2742,67.75,44.71,59.61,2918.16,12.43,314.78,273.1,32.83,-116.97,57,0.97,30.51,13.33,13.33,73.4,13.63,13.25,12.26,8.15,205.43,47.19,43.11,9.7,36.47,292,79.32,79.54,47.06,27,58.44,12.31,8.12,28.96,2.99,286.92,264.09,22.83,-0.73,12.7,12.4
Wed Dec 31 09:59:14 PST 2025,31-Dec-2025 09:59:14.429,-116.96706125,32.83263076,35.619998931884766,3.7900924682617188,95.35052490234375,272.79998779296875,0.06,9.38,1.46,-0.01,-20.05,354.83,-7.11,-,-33817.76,-29.57,-7114.3,-33.82,-55.15,0,0,0,332,-21.6,-7.17,-7171.2,332,-11.98,13.33,-7289.3,0,0,0,0,332,12.69,190.4,132.8,0,0,44.31,4.13,71.6,13.33,29480,-9.4,3,129,-,11.71,604,0,0,0,0,-,-,315.5,-0.15,51.37,943.9,-,196,52.7,50.2,53.73,49.8,50.2,27.5,50.9,-,6560,190.4,73.33,2742,67.75,44.71,59.61,2918.16,12.43,312.83,272.8,32.83,-116.97,56,0.97,30.51,13.33,13.33,73.4,13.63,13.25,12.26,8.15,205.43,47.04,43.29,9.67,36.47,292,79.68,79.54,47.06,27,58.44,12.31,8.12,28.96,3.01,287.82,264.98,22.83,-0.73,12.7,12.4
