GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Sat Jan 03 15:55:17 PST 2026,03-Jan-2026 15:55:17.889,-117.14254924,32.71440049,0.0,6.440038204193115,16.959228515625,0.0,-0.64,8.56,4.24,-0.01,-18.85,352.09,-6.64,-,-∞,0,-6636.97,-∞,-∞,-29.2,-9.87,0,338,0.65,0.22,219.7,338,-11.38,13.73,0,0,0,0,0,339,14.91,161.6,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1827,0,0,753.79,0,-,-,326,-0.15,33.73,377.45,-,196,59.9,50.2,56.86,50.2,50.2,8.5,49.32,-,3520,161.6,65.88,1399.25,56.5,39.61,57.43,2893.5,21.13,55.64,0,32.71,-117.14,18,0,-,13.73,13.73,87.8,10.88,0,13.59,7.36,88.8,12.98,75.16,11.86,25.1,50,-,0,35.29,8.5,-,14.62,6.84,34.38,-,0,0,0,-3.48,14.91,14.6
Sat Jan 03 15:55:18 PST 2026,03-Jan-2026 15:55:18.889,-117.1425423,32.71439899,0.0,4.405559062957764,17.901611328125,0.0,-0.85,8.53,4.52,0.01,-18.85,352.09,-6.64,-,-∞,0,-6636.97,-∞,-∞,-29.2,-9.87,0,338,0.65,0.22,219.7,338,-11.38,13.73,0,0,0,0,0,339,14.91,161.6,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1827,0,0,753.79,0,-,-,326,-0.15,33.73,283.04,-,196,59.9,50.2,56.86,50.2,50.2,6,49.32,-,3680,163.4,65.49,1394.5,56.5,39.61,57,2893.5,14.45,58.73,0,32.71,-117.14,19,0,-,13.73,13.73,87.8,11.17,0,13.59,7.36,89.04,12.98,75.16,11.86,25.1,50,0,0,35.29,8.5,-,14.62,6.84,34.38,-,0,0,0,-3.19,14.91,14.6
Sat Jan 03 15:55:19 PST 2026,03-Jan-2026 15:55:19.887,-117.14253706,32.71439714,0.0,3.7900924682617188,18.80126953125,0.0,-0.62,8.54,4.28,-0.01,-17.95,352.09,-6.32,-,-∞,0,-6320.08,-∞,-∞,-29.1,-9.86,0,339,0.65,0.22,219.7,338,-11.38,13.73,0,0,0,0,0,339,14.91,163.4,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1808,0,0,753.79,0,-,-,326,-0.15,33.73,283.04,-,196,59.9,50.2,56.86,50.2,50.2,6,49.32,-,3680,163.4,65.49,1394.5,-45.25,39.61,57,2899.3,12.43,61.68,0,32.71,-117.14,35,0,-,13.73,13.73,87.8,11.17,0,13.59,7.36,89.04,12.98,75.16,11.86,25.1,53,0,0,35.29,6,-,14.62,6.84,34.38,-,0,0,0,-3.19,14.93,14.6
Sat Jan 03 15:55:20 PST 2026,03-Jan-2026 15:55:20.890,-117.14253198,32.7143982,0.0,3.7900924682617188,19.2926025390625,0.0,0.38,8.7,3.53,-0.02,-17.95,352.09,-6.32,-,-∞,0,-6320.08,-∞,-∞,-29.1,-9.86,0,339,0.65,0.22,219.7,338,-11.38,13.73,0,0,0,0,0,339,14.91,163.4,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1808,0,0,763.38,0,-,-,326,-0.15,34.12,330.24,-,196,59.9,50.2,56.86,50.2,50.2,6.5,49.32,-,3520,163.4,67.06,1403.5,-53.25,39.61,57.43,2887.7,12.43,63.3,0,32.71,-117.14,41,0,-,13.73,13.73,87.8,11.02,0,13.59,7.36,91.12,12.98,75.16,11.86,25.1,54,0,0,35.29,5.5,-,14.62,6.84,34.38,-,0,0,0,-3.34,14.92,14.6
Sat Jan 03 15:55:21 PST 2026,03-Jan-2026 15:55:21.890,-117.14253106,32.7143995,0.0,3.7900924682617188,20.07928466796875,0.0,0.1,8.79,4.28,0.02,-19.15,352.09,-6.74,-,-∞,0,-6742.6,-∞,-∞,-29,-9.83,0,339,0.65,0.22,220.35,339,-11.38,13.73,0,0,0,0,0,340,14.92,163.4,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1775,0,0,763.38,0,-,-,326,-0.15,34.12,330.24,-,196,59.9,50.2,56.86,50.2,50.2,6.5,49.32,-,3520,163.4,67.06,1403.5,-53.25,39.61,57.43,2887.7,12.43,65.88,0,32.71,-117.14,40,0,-,13.73,13.73,87.8,11.02,0,13.59,7.36,91.12,12.98,75.16,11.86,25.1,54,0,0,35.29,5.5,-,14.62,6.84,34.38,-,0,0,0,-3.34,14.92,14.6
Sat Jan 03 15:55:22 PST 2026,03-Jan-2026 15:55:22.889,-117.14253262,32.71440158,0.0,3.7900924682617188,20.297607421875,0.0,-0.16,8.89,4.38,0.03,-19.15,352.09,-6.74,-,-∞,0,-6742.6,-∞,-∞,-29,-9.83,0,339,0.65,0.22,220.35,339,-11.38,13.73,0,0,0,0,0,340,14.92,163.4,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1775,0,0,761.9,0,-,-,326,-0.15,34.51,330.24,-,196,59.9,50.2,56.86,50.2,50.2,6,49.32,-,3680,165.2,66.67,1400.25,-53.25,39.61,58.31,2887.7,12.43,66.59,0,32.71,-117.14,42,0,-,13.73,13.73,87.8,11.02,0,13.59,7.36,90.72,12.98,75.16,11.86,25.1,54,0,0,35.29,6,-,14.62,6.84,34.38,-,0,0,0,-3.34,14.91,14.6
Sat Jan 03 15:55:23 PST 2026,03-Jan-2026 15:55:23.888,-117.14253353,32.7144027,0.0,3.7900924682617188,20.58258056640625,0.0,-0.23,8.99,3.64,0.01,-20.05,352.09,-7.06,-,-∞,0,-7059.48,-∞,-∞,-28.9,-9.8,0,339,0.75,0.25,254.25,339,-11.38,13.73,0,0,0,0,0,339.5,14.93,163.4,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1775,0,0,761.9,0,-,-,326,-0.15,34.51,330.24,-,196,59.9,50.2,56.86,50.2,50.2,6,49.32,-,3680,165.2,66.67,1400.25,15.25,39.61,58.31,2889.15,12.43,67.53,0,32.71,-117.14,43,0,-,13.73,13.73,87.8,11.02,0,13.59,7.36,90.72,12.98,75.16,11.86,25.1,57,0,0,35.29,6,-,14.62,6.84,34.38,-,0,0,0,-3.34,14.91,14.6
Sat Jan 03 15:55:24 PST 2026,03-Jan-2026 15:55:24.891,-117.14253591,32.714402,0.0,3.7900924682617188,20.78582763671875,0.0,-0.03,8.98,3.79,0.01,-20.05,352.09,-7.06,-,-∞,0,-7059.48,-∞,-∞,-28.9,-9.8,0,339,0.75,0.25,254.25,339,-11.38,13.73,0,0,0,0,0,339.5,14.93,165.2,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1766,0,0,557.6,0,-,-,326,-0.15,34.12,330.24,-,196,59.9,50.2,56.86,50.2,50.2,6,49.32,-,3680,165.2,66.67,1400.25,15.25,39.61,58.31,2889.15,12.43,68.19,0,32.71,-117.14,45,0,-,13.73,13.73,87.8,11.02,0,13.59,7.36,90.72,12.98,75.16,11.86,25.1,57,0,0,35.29,6,-,14.62,6.84,34.38,-,0,0,0,-3.34,14.91,14.6
Sat Jan 03 15:55:25 PST 2026,03-Jan-2026 15:55:25.890,-117.14253743,32.71440219,0.0,3.7900924682617188,20.9482421875,0.0,-0.16,8.92,4.54,0.04,-19.75,352.09,-6.95,-,-∞,0,-6953.85,-∞,-∞,-32.5,-11.02,0,339,0.75,0.25,254.25,339,-11.38,13.73,0,0,0,0,0,339,15.04,165.2,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1766,0,0,557.6,0,-,-,326,-0.15,34.12,330.24,-,196,59.9,50.2,56.86,50.2,50.2,7.5,49.32,-,3680,165.2,66.27,1403.25,8.75,39.61,57.43,2921.06,12.43,68.73,0,32.71,-117.14,46,0,-,13.73,13.73,87.8,11.31,0,13.59,7.36,90.96,12.98,75.16,11.86,25.1,59,0,0,35.29,7,-,14.62,6.84,34.38,-,0,0,0,-3.05,14.89,14.7
Sat Jan 03 15:55:25 PST 2026,03-Jan-2026 15:55:26.890,-117.14253743,32.71440219,0.0,3.7900924682617188,20.9482421875,0.0,-0.37,8.87,3.99,0.01,-19.75,352.09,-6.95,-,-∞,0,-6953.85,-∞,-∞,-32.5,-11.02,0,339,0.75,0.25,254.25,339,-11.38,13.73,0,0,0,0,0,339,15.04,165.2,149,0,0,39.61,3.69,86,13.73,29480,-9.4,8,0,-,11.64,1751,0,0,548.01,0,-,-,326,-0.15,34.12,330.24,-,196,59.9,50.2,56.86,50.2,50.2,7.5,49.32,-,3680,165.2,66.27,1403.25,8.75,39.61,57.43,2921.06,12.43,68.73,0,32.71,-117.14,46,0,-,13.73,13.73,87.8,11.31,0,13.59,7.36,90.96,12.98,75.16,11.86,25.1,59,0,0,35.29,7,-,14.62,6.84,34.38,-,0,0,0,-3.05,14.89,14.7
