GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), !! HV Discharge Amps(A),!! HV Volts(V),!! Inst. kPower(kW),!! Inst. kW/km(kW/km/h),!! Inst. kW/miles per hour(kW/mph),!! Inst. Miles per hour/kW(mph/kW),!! Inst. Power(W),!! Inst. W/ miles per hour(W/mph),!! Inst. W/km per hour(W/km/h),!! MGA Current(A),!! MGA kPower(kW),!! MGA Power(W),!! MGA Voltage(V),!! MGB Current(A),!! MGB kPower(kW),!! MGB Power(W),!! MGB Voltage(V),!! SOC (Usable)(%),!! SOC(Raw)(%),!!Inst km per hour /kW(km/h/kW),!Charger AC Current(A),!Charger AC Voltage(V),!Charger HV Current(A),!Charger HV Power(W),!Charger HV Voltage(V),!Control Module Voltage(V),!Engine Coolant Temp(°F),!Engine Oil Temp(°F),!EV km this Cycle(miles),!EV Miles this Cycle(ft),!Fuel Level(%),!Fuel Remaining(Gallons),!HV Battery Temp(°F),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°F),!PRNDL,!Speed kmh(kmh),!Tran Temp(°F),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),*Brake Tq(ft-lb),*Charging Limit?(W),*Clutch C2 Slip(RPM),*Clutch C3 Slip(RPM),*H2 Volt from VICM?(V),*M AC High Side Pressure(psi),*M Commanded Throttle Pos(%),*M Engine Torque(ft-lb),*M Engine Torque m1(ft-lb),*M Fuel System Status(B1),*M Intake Air Temp IAT(°F),*M Long Term Fuel Trip Bank 2(%),*M Long Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank1(%),*M Short Term Fuel Trip Bank2(%),*M Spark Advance(Deg),*Outside Temp Filtered(°F),*Transmission ISS  19 41(RPM),*Transmission Pressure,Engine Coolant Temperature(°F),Engine Load(%),Engine RPM(rpm),Evap System Vapour Pressure(Pa),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(mph),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Hybrid/EV Battery Remaining Charge(%),Intake Air Temperature(°F),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(cfm),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Timing Advance(°),Torque(ft-lb),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Wed Dec 31 10:32:01 PST 2025,31-Dec-2025 10:32:01.763,-116.97705531,32.83275371,36.52000045776367,3.7900924682617188,74.35247802734375,91.19999694824219,0.11,9.77,-2.13,0.04,-124.45,346.27,-43.09,-,-197197.61,-5.07,-43092.76,-197.2,-321.59,-55.3,-18.75,0,339,-78.9,-26.75,-26747.1,339,-13.17,12.55,-48160.43,0,0,0,0,338,12.69,204.8,194,0,0,87.84,8.18,75.2,12.55,29480,-9.4,3,134,-,11.89,609,0,0,0,0,-,-,323,-0.15,42.35,1510.34,-,196,54.5,50.2,53.73,50.2,50.2,17,50.45,-,10560,206.6,23.92,3318.25,-77.5,89.41,63.96,2237.93,12.43,243.94,91.2,32.83,-116.98,44,80.16,-,12.55,12.55,77,5.66,36.76,12.2,8.19,80.61,49.15,4.73,46.12,23.53,389,-,80.16,32.94,27.5,-,11.62,8.61,27.32,1.22,309.78,197.57,106.47,-8.7,12.7,12.4
Wed Dec 31 10:32:02 PST 2025,31-Dec-2025 10:32:02.761,-116.97668383,32.83274771,34.849998474121094,3.7900924682617188,74.21282958984375,91.0999984741211,0.65,7.78,4.85,-0.04,-124.45,346.27,-43.09,-,-208066.77,-4.81,-43092.76,-208.07,-339.31,-55.3,-18.75,0,339,-78.9,-26.75,-26747.1,339,-13.17,12.55,-45644.58,0,0,0,0,338,12.69,204.8,194,0,0,87.84,8.18,75.2,12.55,29480,-9.4,3,127,-,11.83,611,0,0,0,0,-,-,324,-0.15,45.1,755.08,-,196,54.5,50.2,53.73,50.2,50.2,16,50.45,-,9152,204.8,94.51,3107,-77.5,86.27,58.74,2237.93,12.43,243.48,91.1,32.83,-116.98,54,0.29,-,12.55,12.55,77,14.07,9.58,12.2,8.19,295.59,48.92,5.17,45.91,23.53,389,77.96,77.67,59.61,6.5,-,11.6,8.62,27.29,2.04,311.2,198.99,106.47,-0.29,12.67,12.4
Wed Dec 31 10:32:03 PST 2025,31-Dec-2025 10:32:03.761,-116.97632063,32.83273658,34.13999938964844,3.7900924682617188,74.7613525390625,91.0,0.2,11.97,0.01,0.24,-83.05,353.14,-29.33,-,-145033.31,-6.89,-29328.33,-145.03,-236.52,-20.9,-6.96,0,333,-45.9,-15.24,-15238.8,332,-13.17,12.55,-29161.75,0,0,0,0,331.5,12.65,204.8,194,0,0,86.27,8.03,75.2,12.55,29480,-9.4,3,124,-,11.83,607,0,0,0,0,-,-,317,-0.15,98.82,1321.53,-,196,54.5,50.2,53.73,50.2,50.2,16,50.45,-,9152,204.8,94.51,3107,-4.75,86.27,58.74,2897.85,12.43,245.28,91,32.83,-116.98,56,0.29,-,12.55,12.55,77,14.07,9.58,12.2,8.19,295.59,48.89,5.24,45.88,47.45,390,76.37,77.67,59.61,6.5,-,11.6,8.62,27.29,2.07,311.41,199.2,106.47,-0.29,12.67,12.4
Wed Dec 31 10:32:04 PST 2025,31-Dec-2025 10:32:04.761,-116.9759582,32.83273052,34.0,3.7900924682617188,75.26214599609375,90.80000305175781,-1.73,8.5,3.77,-0.02,-83.05,353.14,-29.33,-,-145033.31,-6.89,-29328.33,-145.03,-236.52,-20.9,-6.96,0,333,-45.9,-15.24,-15238.8,332,-13.17,12.55,-29161.75,0,0,0,0,331.5,12.65,204.8,194,0,0,86.27,8.03,75.2,12.55,29480,-9.4,3,124,-,11.83,607,0,0,0,0,-,-,317,-0.15,98.82,1321.53,-,196,54.5,50.2,53.73,50.2,50.2,10,50.45,-,6400,204.8,94.51,3107,-4.75,88.63,59.61,2897.85,12.43,246.92,90.8,32.83,-116.98,60,0.29,-,12.55,12.55,77,14.07,9.58,12.2,8.19,295.59,48.62,5.76,45.62,47.45,390,76.06,77.67,59.61,6.5,-,11.6,8.62,27.29,2.09,313.11,200.9,106.47,-0.29,12.67,12.4
Wed Dec 31 10:32:05 PST 2025,31-Dec-2025 10:32:05.761,-116.97559436,32.83272541,33.970001220703125,3.7900924682617188,76.07965087890625,90.9000015258789,-0.5,7.5,4.7,-0.08,-21.25,356.3,-7.57,-,-37441.34,-26.71,-7571.31,-37.44,-61.06,5.05,1.66,0,328,-31.7,-10.52,-10524.4,328,-13.17,12.55,-7395.52,0,0,0,0,331.5,12.65,204.8,194,0,0,86.27,8.03,75.2,12.55,29480,-9.4,3,124,-,11.83,607,0,0,0,0,-,-,317,-0.15,98.82,1321.53,-,196,54.5,50.2,53.73,50.2,50.2,10,50.45,-,6400,204.8,95.69,3345,21.75,88.63,59.61,2918.16,12.43,249.61,90.9,32.83,-116.98,60,0.37,-,12.55,12.55,77,14.07,8.74,12.2,8.19,314.04,48.55,5.89,45.56,72.94,393,75.99,76.43,83.14,10,-,11.58,8.63,27.24,2.11,313.53,201.32,106.47,-0.29,12.69,12.4
Wed Dec 31 10:32:06 PST 2025,31-Dec-2025 10:32:06.761,-116.97523444,32.83272221,33.91999816894531,3.7900924682617188,76.71466064453125,90.80000305175781,0.53,8.95,2.95,-0.02,-21.25,356.3,-7.57,-,-37745.74,-26.49,-7571.31,-37.75,-61.56,5.05,1.66,0,328,-31.7,-10.4,-10397.6,328,-13.17,12.55,-7335.88,0,0,0,0,328,12.65,203,194,0,0,90.2,8.4,75.2,12.55,29480,-9.4,3,123,-,11.83,604,0,0,0,0,-,-,315.5,-0.15,98.82,1368.73,-,196,54.5,50.2,53.73,50.2,50.2,10,50.45,-,6400,204.8,95.69,3345,21.75,88.63,59.61,2918.16,12.43,251.69,90.8,32.83,-116.98,61,0.37,-,12.55,12.55,77,14.07,8.74,12.2,8.19,314.04,48.41,6.16,45.43,72.94,393,75.88,76.43,83.14,10,-,11.58,8.63,27.24,2.13,314.41,202.2,106.47,-0.29,12.69,12.4
Wed Dec 31 10:32:07 PST 2025,31-Dec-2025 10:32:07.762,-116.97487512,32.83271661,33.84000015258789,3.7900924682617188,77.480224609375,90.69999694824219,0.36,8.76,-0.21,-0.09,-29.35,356.42,-10.46,-,-52151.82,-19.17,-10460.98,-52.15,-85.05,5.75,1.89,0,329,-33,-10.86,-10857,329,-13.17,12.55,-10128.59,0,0,0,0,328,12.69,203,195.8,0,0,90.59,8.44,75.2,12.55,29480,-9.4,3,123,-,11.83,604,0,0,0,0,-,-,315.5,-0.15,98.82,1368.73,-,196,54.5,50.2,53.73,50.2,50.2,10,50.45,-,6560,203,96.47,3438.5,16.25,90.2,58.31,2912.36,12.43,254.2,90.7,32.83,-116.97,62,0.55,-,12.55,12.55,77,14.36,8.15,12.2,8.2,331.28,48.22,6.53,45.25,72.94,395,75.7,76.43,83.14,10,-,11.56,8.65,27.18,2.15,315.63,203.42,106.47,0,12.66,12.4
Wed Dec 31 10:32:08 PST 2025,31-Dec-2025 10:32:08.761,-116.97451475,32.83271131,33.7599983215332,3.7900924682617188,78.41796875,90.80000305175781,0.05,10.27,1.92,0.08,-29.35,356.42,-10.46,-,-52151.82,-19.17,-10460.98,-52.15,-85.05,5.75,1.89,0,329,-33,-10.86,-10857,329,-13.17,12.55,-10128.59,0,0,0,0,328,12.69,203,195.8,0,0,90.59,8.44,75.2,12.55,29480,-9.4,3,123,-,11.83,607,0,0,0,0,-,-,315.5,-0.15,98.82,1368.73,-,196,54.5,50.2,53.73,50.2,50.2,10,50.45,-,6560,203,96.47,3438.5,16.25,90.2,58.31,2912.36,12.43,257.28,90.8,32.83,-116.97,62,0.55,-,12.55,12.55,77,14.36,8.15,12.2,8.2,331.28,48.1,6.76,45.14,72.94,395,75.52,76.43,83.14,10,-,11.56,8.65,27.18,2.17,316.41,204.2,106.47,0,12.66,12.4
Wed Dec 31 10:32:09 PST 2025,31-Dec-2025 10:32:09.761,-116.97415582,32.83270731,33.75,3.7900924682617188,79.4439697265625,90.80000305175781,0.69,10.62,0.43,0.11,-29.35,356.42,-10.46,-,-52151.82,-19.17,-10460.98,-52.15,-85.05,5.75,1.89,0,329,-33,-10.86,-10857,329,-13.17,12.55,-10128.59,0,0,0,0,328,12.69,203,195.8,0,0,90.59,8.44,75.2,12.55,29480,-9.4,3,123,-,11.83,607,0,0,0,0,-,-,313.5,-0.15,98.82,1510.34,-,196,54.5,50.2,53.73,50.2,50.2,9.5,50.45,-,6560,203,96.47,3438.5,16.25,90.2,58.31,2912.36,12.43,260.64,90.8,32.83,-116.97,60,0.55,-,12.55,12.55,77,14.36,8.15,12.2,8.2,331.28,47.95,7.06,44.99,72.94,395,75.5,76.43,83.14,10,-,11.56,8.65,27.18,2.19,317.41,205.2,106.47,0,12.66,12.4
Wed Dec 31 10:32:10 PST 2025,31-Dec-2025 10:32:10.761,-116.973797,32.83270229,33.79999923706055,3.7900924682617188,80.056396484375,90.69999694824219,0.26,8.26,1.81,-0.12,-26.65,356.52,-9.5,-,-47354.21,-21.12,-9498.64,-47.35,-77.22,6.65,1.89,0,329,-33,-10.86,-10857,329,-13.17,12.55,-9196.83,0,0,0,0,328,12.69,203,195.8,0,0,90.59,8.44,75.2,12.55,29480,-9.4,3,123,-,11.83,607,0,0,0,0,-,-,313.5,-0.15,98.82,1510.34,-,196,54.5,50.2,53.73,50.2,50.2,9.5,50.45,-,6080,203,95.29,3424,22,91.37,60.05,2906.56,12.43,262.65,90.7,32.83,-116.97,60,0.2,-,12.94,12.94,77,14.07,8.29,12.2,8.2,325.59,47.68,7.57,44.75,72.94,398,75.61,75.81,83.14,10,-,11.53,8.67,27.13,2.21,319.12,206.91,106.47,-0.29,12.66,12.4
